"","dateHour","dayOfWeek","socialNetwork","sessions"
"1","2015010100","4","(not set)",46
"2","2015010101","4","(not set)",75
"3","2015010102","4","(not set)",35
"4","2015010103","4","(not set)",46
"5","2015010104","4","(not set)",98
"6","2015010105","4","(not set)",41
"7","2015010106","4","(not set)",75
"8","2015010107","4","(not set)",69
"9","2015010108","4","(not set)",81
"10","2015010109","4","(not set)",110
"11","2015010110","4","(not set)",87
"12","2015010111","4","(not set)",162
"13","2015010112","4","(not set)",98
"14","2015010113","4","(not set)",98
"15","2015010114","4","(not set)",81
"16","2015010115","4","(not set)",110
"17","2015010116","4","(not set)",52
"18","2015010117","4","(not set)",151
"19","2015010118","4","(not set)",81
"20","2015010119","4","(not set)",98
"21","2015010120","4","(not set)",110
"22","2015010121","4","(not set)",81
"23","2015010122","4","(not set)",116
"24","2015010123","4","(not set)",110
"25","2015010200","5","(not set)",93
"26","2015010201","5","(not set)",133
"27","2015010202","5","(not set)",98
"28","2015010203","5","(not set)",104
"29","2015010204","5","(not set)",162
"30","2015010205","5","(not set)",98
"31","2015010206","5","(not set)",151
"32","2015010207","5","(not set)",208
"33","2015010208","5","(not set)",156
"34","2015010209","5","(not set)",191
"35","2015010210","5","(not set)",168
"36","2015010211","5","(not set)",139
"37","2015010212","5","(not set)",162
"38","2015010213","5","(not set)",220
"39","2015010214","5","(not set)",179
"40","2015010215","5","(not set)",174
"41","2015010216","5","(not set)",191
"42","2015010217","5","(not set)",168
"43","2015010218","5","(not set)",87
"44","2015010219","5","(not set)",75
"45","2015010220","5","(not set)",75
"46","2015010221","5","(not set)",93
"47","2015010222","5","(not set)",98
"48","2015010223","5","(not set)",87
"49","2015010300","6","(not set)",69
"50","2015010301","6","(not set)",69
"51","2015010302","6","(not set)",81
"52","2015010303","6","(not set)",58
"53","2015010304","6","(not set)",41
"54","2015010305","6","(not set)",87
"55","2015010306","6","(not set)",139
"56","2015010307","6","(not set)",104
"57","2015010308","6","(not set)",69
"58","2015010309","6","(not set)",116
"59","2015010310","6","(not set)",156
"60","2015010311","6","(not set)",127
"61","2015010312","6","(not set)",156
"62","2015010313","6","(not set)",116
"63","2015010314","6","(not set)",145
"64","2015010315","6","(not set)",87
"65","2015010316","6","(not set)",110
"66","2015010317","6","(not set)",116
"67","2015010318","6","(not set)",75
"68","2015010319","6","(not set)",156
"69","2015010320","6","(not set)",133
"70","2015010321","6","(not set)",179
"71","2015010322","6","(not set)",179
"72","2015010323","6","(not set)",98
"73","2015010400","0","(not set)",81
"74","2015010401","0","(not set)",93
"75","2015010402","0","(not set)",87
"76","2015010403","0","(not set)",133
"77","2015010404","0","(not set)",69
"78","2015010405","0","(not set)",87
"79","2015010406","0","(not set)",58
"80","2015010407","0","(not set)",110
"81","2015010408","0","(not set)",93
"82","2015010409","0","(not set)",122
"83","2015010410","0","(not set)",122
"84","2015010411","0","(not set)",122
"85","2015010412","0","(not set)",110
"86","2015010413","0","(not set)",116
"87","2015010414","0","(not set)",174
"88","2015010415","0","(not set)",122
"89","2015010416","0","(not set)",185
"90","2015010417","0","(not set)",139
"91","2015010418","0","(not set)",145
"92","2015010419","0","(not set)",151
"93","2015010420","0","(not set)",168
"94","2015010421","0","(not set)",174
"95","2015010422","0","(not set)",179
"96","2015010423","0","(not set)",168
"97","2015010500","1","(not set)",237
"98","2015010501","1","(not set)",261
"99","2015010502","1","(not set)",168
"100","2015010503","1","(not set)",272
"101","2015010504","1","(not set)",324
"102","2015010505","1","(not set)",353
"103","2015010506","1","(not set)",324
"104","2015010507","1","(not set)",272
"105","2015010508","1","(not set)",365
"106","2015010509","1","(not set)",446
"107","2015010510","1","(not set)",556
"108","2015010511","1","(not set)",590
"109","2015010512","1","(not set)",313
"110","2015010513","1","(not set)",446
"111","2015010514","1","(not set)",428
"112","2015010515","1","(not set)",411
"113","2015010516","1","(not set)",336
